Yates,-76.9234,42.6177563431,"Raplee, Miles, House"
Yates,-77.0589,42.6340283704,"Swartout, William, Farm"
Yates,-77.1295,42.6913544933,"Potter, Arnold, House"
Yates,-77.213,42.6960793121,"Hobart, James, House"
Yates,-76.9748,42.5486772239,"Swortz, William, House"
Yates,-76.9296,42.5489722609,"Curtis, Thomas Bennett, House"
Yates,-76.9249,42.5227334592,"Noyes, John, House"
Livingston,-77.8715,42.7218753685,South Main Street Historic District
Livingston,-77.8765,42.7224913646,Murray Street Historic District
Livingston,-77.878,42.7253954011,State and Eagle Streets Historic District
Yates,-77.0668,42.662080107,Lakeview Cemetery
Yates,-77.0026,42.6654651473,Crooked Lake Outlet Historic District
Cayuga,-76.4192,42.7060947356,Morse Farm
Greene,-73.7878,42.4463377664,New Baltimore Hamlet Historic District
Monroe,-77.5729,43.0675086751,Tinker Cobblestone Farmstead
Orange,-74.2152,41.5444878345,Peachcroft
Ulster,-74.247,41.833104333,"Baker, Sebastian, Stone House"
Washington,-73.4992,43.0919036728,Village of Greenwich Historic District
Suffolk,-72.9383,40.7568980338,Bellport Village Historic District
Chautauqua,-79.4597,42.2376875735,Point Chautauqua Historic District
Steuben,-77.2341,42.1058844682,Main Street Historic District
Orange,-74.2432,41.5585102769,"Bookstaver, Jacob, House"
Orange,-74.0446,41.4245288126,Cromwell Manor
Delaware,-74.5357,42.2495632375,First Old School Baptist Church of Roxbury and Vega Cemetery
Albany,-73.9031,42.5552327929,Onesquethaw Valley Historic District
Ulster,-74.1562,41.7626121958,Lake Mohonk Mountain House Complex
Onondaga,-76.0207,43.0283768386,"Estabrook, Charles, Mansion"
Broome,-75.8656,42.1066649597,New York State Inebriate Asylum
Herkimer,-75.0798,43.2578798436,Russia Corners Historic District
Oneida,-75.3147,43.0023501834,St. Paul's Episcopal Church and Cemetery
Westchester,-73.7004,40.9554907739,Boston Post Road Historic District
Ulster,-74.3862,41.6717837252,Cragsmoor Historic District
Kings,-73.9697,40.6619238019,Prospect Park
Kings,-73.9665,40.646329295,Prospect Park South Historic District
Kings,-73.9368,40.681256953,Stuyvesant Heights Historic District (Boundary Increase)
Allegany,-77.7892,42.2538389187,Alfred Village Historic District
Allegany,-78.2751,42.2139108292,South Street Historic District
Wayne,-77.2296,43.0643556727,Market Street Historic District
Ontario,-77.2722,42.8981670324,Sonnenberg Gardens
Livingston,-77.8166,42.7902475651,"Homestead, The"
Livingston,-77.8553,42.8222819899,Westerly
Monroe,-77.8187,43.0831508161,Chili Mills Conservation Area
Livingston,-77.7114,42.9378751446,Barber-Mulligan Farm
Monroe,-77.5166,43.0894980742,Pittsford Village Historic District
Monroe,-77.6147,42.9691356642,"Sibley, Hiram, Homestead"
Monroe,-77.7471,43.023020628,Rochester Street Historic District
Monroe,-77.6157,43.1609048101,Brown's Race Historic District
Monroe,-77.612,43.1328756489,Mt. Hope-Highland Historic District
Monroe,-77.6188,43.1549267567,Bridge Square Historic District
Monroe,-77.6264,43.1540774362,Madison Square--West Main Street Historic District
Monroe,-77.6152,43.1502442477,Third Ward Historic District
Livingston,-77.9724,42.5748607064,Edgerley
Chemung,-76.7225,42.0382288948,Newtown Battlefield
Steuben,-77.0547,42.143437484,Market Street Historic District (Boundary Increase)
Chemung,-76.7852,42.1118413825,Quarry Farm
Chemung,-76.8026,42.0906712294,Elmira Civic Historic District
Steuben,-77.2541,42.4017540002,Pleasant Valley Wine Company
Steuben,-77.318,42.3356413864,Liberty Street Historic District
Chemung,-76.8144,42.0980973545,Elmira College Old Campus
Chemung,-76.8068,42.1048841046,Fire Station No. 4
Steuben,-77.3147,42.3338496459,Gansevoort/East Steuben Streets Historic District
Seneca,-76.9376,42.8610511848,Rose Hill
Wayne,-76.9947,43.062692108,Broad Street-Water Street Historic District
Ontario,-76.9824,42.8586052517,South Main Street Historic District
