National Register of Historic Places,,,,,,,,,,
National Historic Landmarks Documentation,,,,,,,,,,
Note:  Not all NHLs have been digitized yet,,,,,,,,,,
,,,,,,,,,,
Reference,State,County,City,Resource,Address,Date Listed,,Text,,Photos
Number,,,,Name,,on NR,,Click me,,Click me
78003208,ALASKA              ,North Slope             ,Sagwon                              ,Gallagher Flint Station Archeological Site                                                                              ,Address Restricted                                                                                                      ,19780602,http://pdfhost.focus.nps.gov/docs/nhls/text/78003208.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/78003208.PDF,Photos
66000157,ALASKA              ,North Slope             ,Point Hope Peninsula                ,Ipiutak Site                                                                                                            ,Address Restricted                                                                                                      ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000157.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000157.PDF,Photos
71001093,ALASKA              ,North Slope             ,Flaxman Island                      ,Leffingwell Camp Site                                                                                                   ,58 mi. W of Barter Island on Arctic Coast                                                                               ,19710621,http://pdfhost.focus.nps.gov/docs/nhls/text/71001093.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/71001093.PDF,Photos
73000378,ALASKA              ,Northwest Arctic        ,Kotzebue                            ,Cape Krusenstern Archeological District National Monument                                                               ,Address Restricted                                                                                                      ,19731107,http://pdfhost.focus.nps.gov/docs/nhls/text/73000378.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/73000378.PDF,Photos
72000191,ALASKA              ,Northwest Arctic        ,Kiana                               ,Onion Portage Archeological District                                                                                    ,Address Restricted                                                                                                      ,19720620,http://pdfhost.focus.nps.gov/docs/nhls/text/72000191.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000191.PDF,Photos
72000192,ALASKA              ,Sitka                   ,Sitka                               ,Alaska Native Brotherhood Hall                                                                                          ,Katlean St.                                                                                                             ,19720223,http://pdfhost.focus.nps.gov/docs/nhls/text/72000192.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000192.PDF,Photos
66000162,ALASKA              ,Sitka                   ,Sitka                               ,American Flag Raising Site                                                                                              ,Castle Hill                                                                                                             ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000162.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000162.PDF,Photos
66000166,ALASKA              ,Sitka                   ,Sitka                               ,Old Sitka Site                                                                                                          ,6 mi. N (9.6 km) of Sitka on Starrigavan Bay                                                                            ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000166.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000166.PDF,Photos
66000025,ALASKA              ,Sitka                   ,Sitka                               ,Russian Bishop's House                                                                                                  ,Lincoln and Monastery Sts.                                                                                              ,19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000025.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000025.PDF,Photos
87001282,ALASKA              ,Sitka                   ,Sitka                               ,Russian-American Building No. 29                                                                                        ,202--204 Lincoln St.                                                                                                    ,19870528,http://pdfhost.focus.nps.gov/docs/nhls/text/87001282.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/87001282.PDF,Photos
72000193,ALASKA              ,Sitka                   ,Sitka                               ,Sheldon Jackson School                                                                                                  ,Lincoln St.                                                                                                             ,19720223,http://pdfhost.focus.nps.gov/docs/nhls/text/72000193.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72000193.PDF,Photos
86003559,ALASKA              ,Sitka                   ,Sitka                               ,Sitka Naval Operating Base and US Army Coastal Defenses                                                                 ,Japonski Island                                                                                                         ,19860811,http://pdfhost.focus.nps.gov/docs/nhls/text/86003559.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/86003559.PDF,Photos
66000165,ALASKA              ,Sitka                   ,Sitka                               ,St. Michael's Cathedral                                                                                                 ,"Lincoln and Maksoutoff District,                                                                                        ",19661015,http://pdfhost.focus.nps.gov/docs/nhls/text/66000165.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/66000165.PDF,Photos
75002120,ALASKA              ,Skagway-Hoonah-Angoon   ,Skagway                             ,Chilkoot Trail                                                                                                          ,Mile 0 to U.S./Canada Border                                                                                            ,19750414,http://pdfhost.focus.nps.gov/docs/nhls/text/75002120.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/75002120.PDF,Photos
72001593,ALASKA              ,Skagway-Hoonah-Angoon   ,Yakutat                             ,New Russia Site                                                                                                         ,SW of Yakutat on Phipps Peninsula                                                                                       ,19720223,http://pdfhost.focus.nps.gov/docs/nhls/text/72001593.PDF,Text,http://pdfhost.focus.nps.gov/docs/nhls/photos/72001593.PDF,Photos
